fecha,efectivo,cta_cte,tarjetas,tickets,cheques,otros,total,ventas,prom_vtas,cubt1,cubt2,cubt3,cub,promedio,acumulado
"Mie 01/12/21",55330.00,0.00,27570.00,0.00,0.00,18930.00,101830.00,33,3085.76,0,0,0,0,0.00,101830.00
"Jue 02/12/21",93940.00,0.00,24950.00,0.00,0.00,4310.00,123200.00,43,2865.12,0,0,0,0,0.00,225030.00
"Vie 03/12/21",108140.00,0.00,61380.00,0.00,0.00,11970.00,181490.00,69,2630.29,0,0,0,0,0.00,406520.00
"Sab 04/12/21",138640.00,0.00,33730.00,0.00,0.00,12240.00,184610.00,62,2977.58,0,0,0,0,0.00,591130.00
"Mar 07/12/21",102813.00,0.00,34171.00,0.00,0.00,14610.00,151594.00,56,2707.04,0,0,0,0,0.00,742724.00
"Mie 08/12/21",66900.00,0.00,18570.00,0.00,0.00,13510.00,98980.00,35,2828.00,0,0,0,0,0.00,841704.00
"Jue 09/12/21",75430.00,0.00,26560.00,0.00,0.00,6870.00,108860.00,36,3023.89,0,0,0,0,0.00,950564.00
"Vie 10/12/21",100790.00,0.00,43780.00,0.00,0.00,15950.00,160520.00,60,2675.33,0,0,0,0,0.00,1111084.00
"Sab 11/12/21",107190.00,0.00,41020.00,0.00,0.00,4830.00,153040.00,52,2943.08,0,0,0,0,0.00,1264124.00
"Mar 14/12/21",83200.00,0.00,33322.00,0.00,0.00,32675.00,149197.00,51,2925.43,0,0,0,0,0.00,1413321.00
"Mie 15/12/21",72940.00,0.00,16180.00,0.00,0.00,11830.00,100950.00,32,3154.69,0,0,0,0,0.00,1514271.00
"Jue 16/12/21",65440.00,0.00,12430.00,0.00,0.00,18040.00,95910.00,33,2906.36,0,0,0,0,0.00,1610181.00
"Vie 17/12/21",88870.00,0.00,43700.00,0.00,0.00,13550.00,146120.00,57,2563.51,0,0,0,0,0.00,1756301.00
"Sab 18/12/21",114120.00,0.00,60600.00,0.00,0.00,7650.00,182370.00,67,2721.94,0,0,0,0,0.00,1938671.00
"Mar 21/12/21",101168.00,0.00,32088.00,0.00,0.00,4664.00,137920.00,56,2462.86,0,0,0,0,0.00,2076591.00
"Mie 22/12/21",76574.00,0.00,30490.00,0.00,0.00,13470.00,120534.00,40,3013.35,0,0,0,0,0.00,2197125.00
"Jue 23/12/21",80080.00,0.00,25970.00,0.00,0.00,29500.00,135550.00,44,3080.68,0,0,0,0,0.00,2332675.00
"Vie 24/12/21",106766.00,0.00,76040.00,0.00,0.00,0.00,182806.00,54,3385.30,0,0,0,0,0.00,2515481.00
"Lun 27/12/21",43880.00,0.00,22080.00,0.00,0.00,4850.00,70810.00,21,3371.90,0,0,0,0,0.00,2586291.00
"Mar 28/12/21",130574.00,0.00,32008.00,0.00,0.00,7806.00,170388.00,53,3214.87,0,0,0,0,0.00,2756679.00
"Mie 29/12/21",99520.00,0.00,26650.00,0.00,0.00,17290.00,143460.00,46,3118.70,0,0,0,0,0.00,2900139.00
"Jue 30/12/21",74290.00,0.00,36770.00,0.00,0.00,7020.00,118080.00,41,2880.00,0,0,0,0,0.00,3018219.00
"Vie 31/12/21",130742.00,0.00,82330.00,0.00,0.00,7600.00,220672.00,55,4012.22,0,0,0,0,0.00,3238891.00
"Mar 04/01/22",107063.00,0.00,27029.00,0.00,0.00,0.00,134092.00,48,2793.58,0,0,0,0,0.00,3372983.00
"Mie 05/01/22",108250.00,0.00,38290.00,0.00,0.00,17590.00,164130.00,48,3419.38,0,0,0,0,0.00,3537113.00
"Jue 06/01/22",121630.00,0.00,22150.00,0.00,0.00,12630.00,156410.00,50,3128.20,0,0,0,0,0.00,3693523.00
"Vie 07/01/22",142880.00,0.00,83820.00,0.00,0.00,0.00,226700.00,67,3383.58,0,0,0,0,0.00,3920223.00
"Sab 08/01/22",90970.00,0.00,114520.00,0.00,0.00,0.00,205490.00,70,2935.57,0,0,0,0,0.00,4125713.00
"Mar 11/01/22",127286.00,0.00,26882.00,0.00,0.00,15056.00,169224.00,56,3021.86,0,0,0,0,0.00,4294937.00
"Mie 12/01/22",93190.00,0.00,27490.00,0.00,0.00,35230.00,155910.00,52,2998.27,0,0,0,0,0.00,4450847.00
"Jue 13/01/22",116620.00,0.00,34180.00,0.00,0.00,5320.00,156120.00,48,3252.50,0,0,0,0,0.00,4606967.00
"Vie 14/01/22",163070.00,0.00,59630.00,0.00,0.00,14580.00,237280.00,70,3389.71,0,0,0,0,0.00,4844247.00
"Sab 15/01/22",118860.00,0.00,58410.00,0.00,0.00,39330.00,216600.00,69,3139.13,0,0,0,0,0.00,5060847.00
"Mar 18/01/22",77717.00,0.00,30757.00,0.00,0.00,29272.00,137746.00,56,2459.75,0,0,0,0,0.00,5198593.00
"Mie 19/01/22",98160.00,0.00,22700.00,0.00,0.00,31540.00,152400.00,46,3313.04,0,0,0,0,0.00,5350993.00
"Jue 20/01/22",87250.00,0.00,30210.00,0.00,0.00,13580.00,131040.00,48,2730.00,0,0,0,0,0.00,5482033.00
"Vie 21/01/22",124480.00,0.00,66050.00,0.00,0.00,31870.00,222400.00,76,2926.32,0,0,0,0,0.00,5704433.00
"Sab 22/01/22",142090.00,0.00,75460.00,0.00,0.00,10990.00,228540.00,73,3130.68,0,0,0,0,0.00,5932973.00
"Mar 25/01/22",71729.00,0.00,40242.00,0.00,0.00,31714.00,143685.00,47,3057.13,0,0,0,0,0.00,6076658.00
"Mie 26/01/22",101330.00,0.00,26170.00,0.00,0.00,7820.00,135320.00,43,3146.98,0,0,0,0,0.00,6211978.00
"Jue 27/01/22",74570.00,0.00,25630.00,0.00,0.00,28220.00,128420.00,43,2986.51,0,0,0,0,0.00,6340398.00
"Vie 28/01/22",107700.00,0.00,41290.00,0.00,0.00,17020.00,166010.00,58,2862.24,0,0,0,0,0.00,6506408.00
"Sab 29/01/22",127060.00,0.00,56220.00,0.00,0.00,17170.00,200450.00,69,2905.07,0,0,0,0,0.00,6706858.00
"Mar 01/02/22",67348.00,0.00,36590.00,0.00,0.00,29283.00,133221.00,45,2960.47,0,0,0,0,0.00,6840079.00
"Mie 02/02/22",60930.00,0.00,40540.00,0.00,0.00,5080.00,106550.00,33,3228.79,0,0,0,0,0.00,6946629.00
"Jue 03/02/22",56840.00,0.00,29080.00,0.00,0.00,17410.00,103330.00,38,2719.21,0,0,0,0,0.00,7049959.00
"Vie 04/02/22",118690.00,0.00,87330.00,0.00,0.00,18920.00,224940.00,75,2999.20,0,0,0,0,0.00,7274899.00
"Sab 05/02/22",117260.00,0.00,45980.00,0.00,0.00,35860.00,199100.00,67,2971.64,0,0,0,0,0.00,7473999.00
"Mar 08/02/22",110920.00,0.00,23810.00,0.00,0.00,15262.00,149992.00,50,2999.84,0,0,0,0,0.00,7623991.00
"Mie 09/02/22",69101.00,0.00,31650.00,0.00,0.00,11280.00,112031.00,34,3295.03,0,0,0,0,0.00,7736022.00
"Jue 10/02/22",84750.00,0.00,30980.00,0.00,0.00,8240.00,123970.00,39,3178.72,0,0,0,0,0.00,7859992.00
"Vie 11/02/22",133780.00,0.00,78770.00,0.00,0.00,31790.00,244340.00,75,3257.87,0,0,0,0,0.00,8104332.00
"Sab 12/02/22",142790.00,0.00,34250.00,0.00,0.00,26090.00,203130.00,61,3330.00,0,0,0,0,0.00,8307462.00
"Lun 14/02/22",160320.00,0.00,56340.00,0.00,0.00,46580.00,263240.00,86,3060.93,0,0,0,0,0.00,8570702.00
"Mar 15/02/22",102620.00,0.00,18381.00,0.00,0.00,22861.00,143862.00,46,3127.43,0,0,0,0,0.00,8714564.00
"Mie 16/02/22",78910.00,0.00,21400.00,0.00,0.00,17860.00,118170.00,33,3580.91,0,0,0,0,0.00,8832734.00
"Jue 17/02/22",99170.00,0.00,33360.00,0.00,0.00,23620.00,156150.00,51,3061.76,0,0,0,0,0.00,8988884.00
"Vie 18/02/22",112440.00,0.00,69270.00,0.00,0.00,14410.00,196120.00,59,3324.07,0,0,0,0,0.00,9185004.00
"Sab 19/02/22",109940.00,0.00,50990.00,0.00,0.00,15170.00,176100.00,53,3322.64,0,0,0,0,0.00,9361104.00
"Mar 22/02/22",91816.00,0.00,28242.00,0.00,0.00,16753.00,136811.00,47,2910.87,0,0,0,0,0.00,9497915.00
