fecha,salon,mostrador,domicilio,otros,total,cub,promedio,ventas,prom_vtas,acumulado
"Mie 01/12/21",0.00,2820.00,99010.00,0.00,101830.00,0,0.00,33,3085.76,101830.00
"Jue 02/12/21",0.00,840.00,122360.00,0.00,123200.00,0,0.00,43,2865.12,123200.00
"Vie 03/12/21",0.00,13490.00,168000.00,0.00,181490.00,0,0.00,68,2668.97,181490.00
"Sab 04/12/21",0.00,19400.00,165210.00,0.00,184610.00,0,0.00,62,2977.58,184610.00
"Mar 07/12/21",0.00,7056.00,144538.00,0.00,151594.00,0,0.00,56,2707.04,151594.00
"Mie 08/12/21",0.00,10460.00,88520.00,0.00,98980.00,0,0.00,35,2828.00,98980.00
"Jue 09/12/21",0.00,5640.00,103220.00,0.00,108860.00,0,0.00,36,3023.89,108860.00
"Vie 10/12/21",0.00,10910.00,149610.00,0.00,160520.00,0,0.00,60,2675.33,160520.00
"Sab 11/12/21",0.00,15880.00,137160.00,0.00,153040.00,0,0.00,52,2943.08,153040.00
"Mar 14/12/21",0.00,5050.00,144147.00,0.00,149197.00,0,0.00,51,2925.43,149197.00
"Mie 15/12/21",0.00,7760.00,93190.00,0.00,100950.00,0,0.00,31,3256.45,100950.00
"Jue 16/12/21",0.00,1760.00,94150.00,0.00,95910.00,0,0.00,33,2906.36,95910.00
"Vie 17/12/21",0.00,16600.00,129520.00,0.00,146120.00,0,0.00,56,2609.29,146120.00
"Sab 18/12/21",0.00,20110.00,162260.00,0.00,182370.00,0,0.00,67,2721.94,182370.00
"Mar 21/12/21",0.00,6372.00,131548.00,0.00,137920.00,0,0.00,55,2507.64,137920.00
"Mie 22/12/21",0.00,6240.00,114294.00,0.00,120534.00,0,0.00,40,3013.35,120534.00
"Jue 23/12/21",0.00,3290.00,132260.00,0.00,135550.00,0,0.00,44,3080.68,135550.00
"Vie 24/12/21",0.00,127030.00,55776.00,0.00,182806.00,0,0.00,54,3385.30,182806.00
"Lun 27/12/21",0.00,840.00,69970.00,0.00,70810.00,0,0.00,21,3371.90,70810.00
"Mar 28/12/21",0.00,11530.00,158858.00,0.00,170388.00,0,0.00,53,3214.87,170388.00
"Mie 29/12/21",0.00,6450.00,137010.00,0.00,143460.00,0,0.00,46,3118.70,143460.00
"Jue 30/12/21",0.00,17590.00,100490.00,0.00,118080.00,0,0.00,41,2880.00,118080.00
"Vie 31/12/21",0.00,156940.00,63732.00,0.00,220672.00,0,0.00,55,4012.22,220672.00
"Mar 04/01/22",0.00,4440.00,129652.00,0.00,134092.00,0,0.00,48,2793.58,134092.00
"Mie 05/01/22",0.00,33540.00,130590.00,0.00,164130.00,0,0.00,48,3419.38,164130.00
"Jue 06/01/22",0.00,3480.00,152930.00,0.00,156410.00,0,0.00,50,3128.20,156410.00
"Vie 07/01/22",0.00,19530.00,207170.00,0.00,226700.00,0,0.00,67,3383.58,226700.00
"Sab 08/01/22",0.00,0.00,205490.00,0.00,205490.00,0,0.00,70,2935.57,205490.00
