id,codigo,nombre,importe,ventas,porcentaje,cotiz
"01-*","*","EFECTIVO",46642172.9,10587,55.67,0.00
"01-/","/","CTA CTE",100470.00,10,0.12,0.00
"01-D","D","MASTER DEBITO",920.00,1,0.00,0.00
"01-E","E","VISA DEBITO",18350999.0,4117,21.90,0.00
"01-H","H","TRANSFERENCIA",16493220.0,3059,19.68,0.00
"01-S","S","BILLETERA SANTA",719105.00,100,0.86,0.00
"01-V","V","VISA",1479786.00,301,1.77,0.00
"01-zzz"," ","",0.00,0,0.00,0.00
"02"," ","TOTAL",83786672.9,18175,100.00,0.00
"02-zzz"," ","",0.00,0,0.00,0.00
"03"," ","RESUMEN",0.00,0,0.00,0.00
"04-1"," ","Efectivo",46642172.9,0,0.00,0.00
"04-2"," ","Cta.Cte.",100470.00,0,0.00,0.00
"04-3"," ","Tarjetas",20550810.0,0,0.00,0.00
"04-6"," ","Otros",16493220.0,0,0.00,0.00
