ID_cliente,ID_producto,unidades,venta
0,0,2.0,2.0
0,1,98.0,133910.0
0,2,34.0,44109.0
0,3,49.0,76165.0
0,4,61.0,79890.0
0,5,74.0,103210.0
0,6,22.0,29480.0
0,7,58.0,91860.0
0,8,84.0,112572.0
0,9,272.0,360974.0
0,10,87.0,113448.0
0,11,71.0,98727.0
0,12,22.0,37109.0
0,13,32.0,46520.0
0,14,19.0,30270.0
0,15,30.0,48450.0
0,16,287.0,426859.0
0,17,25.0,38169.0
0,18,10.0,14340.0
0,19,27.0,40748.0
0,20,171.0,258720.0
0,21,13.0,20540.0
0,22,88.0,122804.0
0,23,23.0,31979.0
0,24,75.0,101133.0
0,25,15.0,20004.0
0,26,3.0,3260.0
0,27,6.0,7920.0
0,28,6.0,5360.0
0,29,1.0,790.0
0,30,4.0,6450.0
0,31,33.0,40370.0
0,32,9.0,10441.0
0,33,11.0,14330.0
0,34,17.0,24060.0
0,35,41.0,65140.0
0,36,210.0,346581.0
0,37,28.0,37280.0
0,38,22.0,29960.0
0,39,30.0,39110.0
0,40,41.0,51420.0
0,41,24.0,34700.0
0,42,224.0,536511.0
0,43,104.0,379160.0
0,44,1.0,6700.0
0,45,257.0,720250.0
0,46,151.0,684706.0
0,47,24.0,140510.0
0,48,214.0,739770.0
0,49,148.0,745777.0
0,50,22.0,151660.0
0,51,102.0,326746.0
0,52,35.0,141000.0
0,53,5.0,27820.0
0,54,6.0,10830.0
0,55,1.0,3400.0
0,65,5.0,1000.0
0,66,2.0,200.0
0,67,12.0,1111.0
0,68,12.0,1730.0
0,69,20.0,1880.0
0,70,5.0,9410.0
0,71,11.0,1200.0
0,72,10.0,11436.0
0,73,2.0,2420.0
0,74,4.0,4471.0
0,75,350.0,0.0
0,76,964.0,0.0
0,80,2.0,3260.0
0,81,1.0,1790.0
0,93,3.0,390.0
0,94,2.0,200.0
0,711,24.0,35410.0
2,7,1.0,588.0
2,9,6.0,5144.04
2,11,6.0,6171.82
2,16,13.0,12855.49
2,22,2.0,1430.21
2,30,2.0,1709.88
2,33,1.0,703.7
2,34,8.0,6775.55
2,71,10.0,925.73
2,76,27.0,0.0
2,711,2.0,1668.6
3,36,1.0,838.77
3,50,1.0,3524.26
3,71,1.0,84.58
3,711,1.0,782.39
4,1,1.0,655.23
4,9,1.0,655.23
4,16,2.0,1438.66
4,34,2.0,1281.96
4,71,2.0,170.92
4,76,4.0,0.0
5,46,3.0,9949.0
5,76,6.0,0.0
6,11,1.0,1220.0
6,16,3.0,3450.0
6,20,2.0,2230.0
6,22,1.0,1010.0
6,36,1.0,1310.0
6,75,2.0,0.0
6,76,6.0,0.0
6,711,1.0,1220.0
10,36,1.0,2060.0
10,43,1.0,4500.0
10,71,1.0,180.0
10,76,5.0,0.0
11,16,1.0,909.0
11,21,1.0,1790.0
11,34,14.0,14498.0
11,36,10.0,12264.86
11,42,1.0,1521.0
11,48,9.0,21812.78
11,71,2.0,258.35
11,75,7.0,0.0
11,76,17.0,0.0
12,15,1.0,1010.0
12,16,1.0,1010.0
12,31,1.0,790.0
12,36,1.0,1080.0
12,76,2.0,0.0
13,3,1.0,999.0
13,4,2.0,1680.0
13,6,9.0,9119.0
13,8,1.0,840.0
13,11,31.0,61891.0
13,12,18.0,24168.0
13,15,4.0,10440.0
13,16,27.0,46856.0
13,18,28.0,48786.0
13,19,1.0,2620.0
13,20,1.0,920.0
13,22,1.0,920.0
13,24,14.0,30735.0
13,35,21.0,33072.0
13,36,8.0,11160.0
13,41,3.0,4790.0
13,45,1.0,3300.0
13,75,15.0,0.0
13,76,99.0,0.0
15,9,1.0,1980.0
15,14,1.0,920.0
15,15,1.0,2720.0
15,16,1.0,2720.0
15,22,2.0,3300.0
15,24,1.0,2380.0
15,36,3.0,6320.0
15,45,1.0,4600.0
15,49,1.0,8200.0
15,76,10.0,0.0
16,5,1.0,1164.77
16,36,1.0,980.0
16,45,3.0,7497.88
16,71,3.0,408.35
16,76,6.0,0.0
17,3,1.0,1161.0
17,5,7.0,9534.0
17,6,1.0,828.0
17,9,2.0,2790.0
17,11,2.0,2859.0
17,15,2.0,2304.0
17,16,6.0,9456.0
17,20,7.0,11211.0
17,23,1.0,1395.0
17,27,1.0,711.0
17,32,2.0,3960.0
17,34,1.0,810.0
17,35,2.0,3249.0
17,36,5.0,7839.0
17,40,1.0,1125.0
17,52,3.0,24609.0
17,53,4.0,25992.0
17,67,8.0,1764.0
17,68,18.0,3216.0
17,70,1.0,2358.0
17,72,4.0,4968.0
17,75,20.0,0.0
17,76,10.0,0.0
17,81,1.0,1395.0
17,713,1.0,270.0
18,71,1.0,180.0
19,5,1.0,1350.0
19,15,1.0,1630.0
19,17,1.0,1630.0
19,24,1.0,1630.0
19,71,1.0,120.0
19,76,2.0,0.0
20,3,1.0,1485.0
20,4,1.0,1332.0
20,9,7.0,10254.0
20,10,4.0,5718.0
20,11,5.0,8826.0
20,16,5.0,8826.0
20,19,1.0,1755.0
20,20,1.0,1950.0
20,22,2.0,3705.0
20,35,11.0,14931.0
20,36,10.0,13077.0
20,42,1.0,1377.0
20,47,5.0,23293.0
20,51,1.0,2223.0
20,53,1.0,4203.0
20,72,1.0,1010.0
20,75,4.0,0.0
20,76,35.0,0.0
20,713,11.0,1930.0
21,16,1.0,1630.0
21,36,1.0,1700.0
21,42,1.0,2500.0
21,71,1.0,120.0
21,76,3.0,0.0
23,3,1.0,1290.0
23,9,2.0,2649.0
23,10,2.0,2622.0
23,14,1.0,828.0
23,16,2.0,1656.0
23,17,1.0,1110.0
23,19,1.0,1098.0
23,21,3.0,2484.0
23,22,1.0,1611.0
23,24,2.0,2778.0
23,25,1.0,1215.0
23,31,2.0,2564.0
23,32,3.0,3325.0
23,34,1.0,738.0
23,35,6.0,7743.0
23,36,3.0,2954.0
23,71,1.0,120.0
23,75,6.0,0.0
23,76,13.0,0.0
23,713,7.0,1120.0
27,1,1.0,840.0
27,21,1.0,920.0
27,36,1.0,980.0
27,48,1.0,3900.0
27,51,1.0,4950.0
27,71,1.0,120.0
27,75,2.0,0.0
27,76,3.0,0.0
27,711,2.0,2870.0
29,9,5.0,5646.0
29,20,5.0,6498.0
29,42,1.0,1377.0
29,45,2.0,6600.0
29,48,1.0,1782.0
29,75,4.0,0.0
29,76,10.0,0.0
30,25,1.0,1500.0
30,26,1.0,1500.0
30,71,1.0,180.0
30,76,1.0,0.0
31,1,3.0,3950.0
31,9,2.0,2775.0
31,16,1.0,1630.0
31,19,1.0,1630.0
31,22,2.0,3580.0
31,24,2.0,3705.0
31,36,6.0,9848.0
31,75,3.0,0.0
31,76,12.0,0.0
31,712,2.0,280.0
32,1,13.0,14847.2
32,4,1.0,840.0
32,5,5.0,5688.2
32,24,12.0,15520.01
32,36,11.0,15441.86
32,71,11.0,1383.75
32,75,12.0,0.0
32,76,12.0,0.0
32,713,1.0,150.0
36,1,8.0,11990.0
36,3,1.0,920.0
36,9,3.0,4880.0
36,10,2.0,4160.0
36,16,19.0,27915.94
36,19,1.0,1790.0
36,20,16.0,26440.0
36,21,3.0,6710.0
36,23,2.0,4570.0
36,24,9.0,15080.0
36,25,2.0,1600.0
36,31,3.0,2370.0
36,34,42.0,50191.26
36,35,5.0,10150.0
36,36,7.0,13600.0
36,48,5.0,23540.0
36,49,1.0,7150.0
36,51,1.0,2250.0
36,70,1.0,2620.0
36,71,49.0,7353.81
36,75,19.0,0.0
36,76,85.0,0.0
37,51,1.0,2470.0
37,75,2.0,0.0
37,712,1.0,140.0
38,1,1.0,1980.0
38,9,1.0,1980.0
38,16,3.0,5680.0
38,20,3.0,5680.0
38,21,1.0,2380.0
38,22,1.0,2380.0
38,45,2.0,6300.0
38,46,1.0,2740.0
38,48,4.0,10123.37
38,49,2.0,6230.0
38,52,1.0,3470.0
38,71,10.0,1358.63
38,75,6.0,0.0
38,76,24.0,0.0
40,7,1.0,1650.0
40,9,1.0,920.0
40,16,12.0,17390.0
40,20,1.0,1110.0
40,22,3.0,3980.0
40,36,28.0,41780.0
40,69,24.0,3610.0
40,71,12.0,1560.0
40,75,7.0,0.0
40,76,27.0,0.0
41,16,13.0,24258.0
41,20,1.0,1950.0
41,21,1.0,1950.0
41,31,1.0,790.0
41,45,12.0,32110.0
41,48,20.0,71644.0
41,54,1.0,1650.0
41,75,8.0,0.0
41,76,51.0,0.0
42,36,1.0,1870.0
42,48,1.0,3570.0
42,50,1.0,4160.0
42,76,6.0,0.0
42,713,1.0,150.0
44,16,1.0,1950.0
44,20,1.0,1950.0
44,43,1.0,4500.0
44,71,1.0,180.0
44,76,3.0,0.0
45,43,1.0,4100.0
46,16,1.0,920.0
46,24,1.0,920.0
46,48,1.0,3250.0
46,49,1.0,4844.74
46,71,2.0,228.26
46,76,4.0,0.0
47,11,12.0,14810.0
47,12,3.0,4170.0
47,16,13.0,17340.0
47,19,2.0,3170.0
47,22,1.0,1010.0
47,36,20.0,25610.0
47,45,2.0,6300.0
47,48,1.0,1980.0
47,49,6.0,26482.0
47,50,4.0,19930.0
47,51,1.0,2250.0
47,67,1.0,90.0
47,68,2.0,180.0
47,69,11.0,1030.0
47,72,1.0,1220.0
47,75,22.0,0.0
47,76,41.0,0.0
47,711,1.0,1220.0
48,3,1.0,1650.0
48,4,13.0,12430.0
48,45,2.0,3860.0
48,71,1.0,120.0
48,75,6.0,0.0
48,76,12.0,0.0
48,712,8.0,1180.0
52,4,1.0,1650.0
52,8,11.0,15640.0
52,13,1.0,1950.0
52,16,4.0,7410.0
52,17,1.0,1010.0
52,19,1.0,1450.0
52,21,1.0,2380.0
